employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
100,Steven,King,SKING,515.123.4567,1987-06-17,AD_PRES,24000,,,20
101,Neena,Kochhar,NKOCHHAR,515.123.4568,1989-11-21,AD_VP,17000,,100,20
102,Lex,De Haan,LDEHAAN,515.123.4569,1993-09-12,AD_VP,17000,,100,30
103,Alexander,Hunold,AHUNOLD,590.423.4567,1990-01-03,IT_PROG,9000,,102,60
104,Bruce,Ernst,BERNST,590.423.4568,1991-05-21,IT_PROG,6000,,103,60
105,David,Austin,DAUSTIN,590.423.4569,1997-06-25,IT_PROG,4800,,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,1998-03-24,IT_PROG,4800,,103,40
107,Diana,Lorentz,DLORENTZ,590.423.5567,1999-02-07,IT_PROG,4200,,103,40
108,Nancy,Greenberg,NGREENBE,515.124.4569,1994-08-17,FI_MGR,12000,,101,100
109,Daniel,Faviet,DJAVIET,515.124.4169,1994-08-12,FI_ACCOUNT,9000,,108,170
110,John,Chen,JCHEN,515.124.4269,1997-04-09,FI_ACCOUNT,8200,,108,170
111,Ismael,Sciarra,ISCIARRA,515.124.4369,1997-02-01,FI_ACCOUNT,7700,,108,160
112,Jose Manuel,Urman,JUMANUEL,515.124.4469,1998-06-03,FI_ACCOUNT,7800,,108,150
113,Luis,Popp,LPOPP,515.124.4567,1999-12-07,FI_ACCOUNT,6900,,108,140
114,Den,Raphaely,DRAPHEALY,515.127.4561,1994-11-08,PU_MAN,11000,,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,1995-05-12,PU_CLERK,3100,,114,80
116,Shelli,Baida,SBADA,515.127.4563,1997-12-13,PU_CLERK,2900,,114,70
117,Sigal,Tobias,STOBIAS,515.127.4564,1997-09-10,PU_CLERK,2800,,114,30
118,Guy,Himuro,GHIMURO,515.127.4565,1998-01-02,PU_CLERK,2600,,114,60
119,Karen,Colmenares,KCOLMENA,515.127.4566,1999-04-08,PU_CLERK,2500,,114,130
120,Matthew,Weiss,MWEISS,650.123.1234,1996-07-18,ST_MAN,8000,,100,50
121,Adam,Fripp,AFRIPP,650.123.2234,1997-08-09,ST_MAN,8200,,100,50
122,Payam,Safving,PSAVFUL,650.123.3234,1995-05-01,ST_MAN,7900,,100,40
123,Shanta,Volman,SVOLMAN,650.123.4234,1997-10-12,ST_MAN,6500,,100,50
124,Kevin,Mourgos,KMOUDROS,650.123.5234,1999-11-12,ST_MAN,5800,,100,80
125,Julia,Nayer,JNAYER,650.124.1214,1997-07-02,ST_CLERK,3200,,120,50
126,Irene,Mikkilai,IMIKKILA,650.124.1314,1998-11-12,ST_CLERK,2700,,120,50
127,James,Landry,JLANDRY,650.124.1344,1999-01-02,ST_CLERK,2400,,120,90
128,Steven,Markel,SMARKEL,650.124.1434,2000-03-04,ST_CLERK,2200,,120,50
129,Laura,Bissot,LBISSOT,650.124.1534,1997-09-10,ST_CLERK,3300,,121,50
130,Mozhe,Atkinson,MATKINSON,650.124.6234,1997-10-12,ST_CLERK,2800,,121,110
